place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJFealcABvdTERoLOWPIynSp8,Gazebo,,,564,4.1,"Name: Cask Bar
Link: https://www.google.com/maps/search/Cask+Bar/@10.3422886,107.07512489999999?authuser=0&hl=vi&entry=ttu
Reviews: 215 reviews

Name: Déjà vu - cocktail bar
Link: https://www.google.com/maps/search/D%C3%A9j%C3%A0+vu+-+cocktail+bar/@10.350755800000002,107.0714533?authuser=0&hl=vi&entry=ttu
Reviews: 135 reviews

Name: Breeze Rooftop Bar
Link: https://www.google.com/maps/search/Breeze+Rooftop+Bar/@10.341619999999999,107.07585979999999?authuser=0&hl=vi&entry=ttu
Reviews: 122 reviews

Name: fusion hotel roof top
Link: https://www.google.com/maps/search/fusion+hotel+roof+top/@10.341612999999999,107.075904?authuser=0&hl=vi&entry=ttu
Reviews: 28 reviews

Name: Galang Bar
Link: https://www.google.com/maps/search/Galang+Bar/@10.342677499999999,107.0752493?authuser=0&hl=vi&entry=ttu
Reviews: 6 reviews",http://gazebo.com.vn/,0865 459 299,,Gazebo (Chủ sở hữu),https://www.google.com/maps/contrib/111354076667075159346,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx0nBo26PdVok3JMCNcT9w6yliaX9EAYxlta-GRHT75LXE2RH5bEPN8vOsggInLjf7Ew2q21diZwxb6Vgk0sde7RKQy2COWhIsHNHZa5928bgzQJHw_GeisLK6kLvYvtHhFCP8tVA=s1024,Quán bar,"Quán bar, Quán cà phê, Nhà hàng",,,Open All Days,"90 Hạ Long, Phường 2, Vũng Tàu, Bà Rịa - Vũng Tàu",,https://www.google.com/maps/place/Gazebo/data=!4m7!3m6!1s0x31756f0070a5e615:0x9f4aa78c3c96b3a0!8m2!3d10.3348517!4d107.071917!16s%2Fg%2F11ft_2pdx4!19sChIJFealcABvdTERoLOWPIynSp8?authuser=0&hl=vi&rclk=1,"quán bar, club ở vũng tàu"
ChIJPwx0DuxvdTEREfbahSUuegQ,Karaoke 88,,,619,4,"Name: Merastis Karaoke
Link: https://www.google.com/maps/search/Merastis+Karaoke/@10.357525400000002,107.0865006?authuser=0&hl=vi&entry=ttu
Reviews: 261 reviews

Name: Avatar Karaoke
Link: https://www.google.com/maps/search/Avatar+Karaoke/@10.3581653,107.0786672?authuser=0&hl=vi&entry=ttu
Reviews: 243 reviews

Name: Karaoke 88-2
Link: https://www.google.com/maps/search/Karaoke+88-2/@10.3627928,107.0885922?authuser=0&hl=vi&entry=ttu
Reviews: 223 reviews

Name: Karaoke Las Vegas
Link: https://www.google.com/maps/search/Karaoke+Las+Vegas/@10.3409285,107.078232?authuser=0&hl=vi&entry=ttu
Reviews: 81 reviews

Name: Karaoke Diamond
Link: https://www.google.com/maps/search/Karaoke+Diamond/@10.3468225,107.0844856?authuser=0&hl=vi&entry=ttu
Reviews: 19 reviews",,0254 3585 988,1,Karaoke 88 (Chủ sở hữu),https://www.google.com/maps/contrib/105517735912948631217,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy86PaxToOUoAvHqD3j3FAQFRnjbUGgdWhOlqyDfbgUf-ysmySOLBFXi_P5FXg1k5-pAA3mEd3aNvTk11vSRBg0pRwZkSmekquHesv39eiPKa2KFxPI_N790aHXeZRvcrtqZ6xE9A=s1024,Quán bar karaoke,Quán bar karaoke,,,Open All Days,"118 Trương Công Định, Phường 3, Vũng Tàu, Bà Rịa - Vũng Tàu",,https://www.google.com/maps/place/Karaoke+88/data=!4m7!3m6!1s0x31756fec0e740c3f:0x47a2e2585daf611!8m2!3d10.3497442!4d107.0824263!16s%2Fg%2F11c5ss33jw!19sChIJPwx0DuxvdTEREfbahSUuegQ?authuser=0&hl=vi&rclk=1,"quán bar, club ở vũng tàu"
ChIJy-CBxpNvdTERf5T8kclDaDg,VFB Restaurant & Bar,"CƠ SỞ UY TÍN, CÓ GIẤY PHÉP KINH DOANH CỦA CHÍNH QUYỀN. NHIỀU ĐỒ ĂN UỐNG Á ÂU, CHUYÊN NGHIỆP VÀ BẢO ĐẢM AN TOÀN VỆ SINH THỰC PHẨM(CÓ GIẤY PHÉP)",,110,3.9,"Name: The Office
Link: https://www.google.com/maps/search/The+Office/@10.3427619,107.0769741?authuser=0&hl=vi&entry=ttu
Reviews: 69 reviews

Name: T Back Bar
Link: https://www.google.com/maps/search/T+Back+Bar/@10.3427619,107.0769741?authuser=0&hl=vi&entry=ttu
Reviews: 24 reviews

Name: Billionaire Bar & Lounge
Link: https://www.google.com/maps/search/Billionaire+Bar+%26+Lounge/@10.3424222,107.07513469999999?authuser=0&hl=vi&entry=ttu
Reviews: 10 reviews

Name: Wine Club - Rượu vang nhập khẩu uy tín tại Vũng Tàu/HCM- Vân Nam
Link: https://www.google.com/maps/search/Wine+Club+-+R%C6%B0%E1%BB%A3u+vang+nh%E1%BA%ADp+kh%E1%BA%A9u+uy+t%C3%ADn+t%E1%BA%A1i+V%C5%A9ng+T%C3%A0u%2FHCM-+V%C3%A2n+Nam/@10.383185,107.0981929?authuser=0&hl=vi&entry=ttu
Reviews: 6 reviews

Name: Bar Rạng Đông Sunrise
Link: https://www.google.com/maps/search/Bar+R%E1%BA%A1ng+%C4%90%C3%B4ng+Sunrise/@10.342534900000002,107.0757445?authuser=0&hl=vi&entry=ttu
Reviews: 1 reviews",,0903 746 703,,VFB Restaurant & Bar (Chủ sở hữu),https://www.google.com/maps/contrib/115176421635471220321,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyYfPhxli0bZAL3wIT4T78c4Gqn3ZKLg9_BYl9xY6XZfn2prpaFAEo8USh82hGquHdiYz-WeSL8hNGu85JCW1-I4pBRo4F5l775deifIRNRzo78rpCxg_BJ-WdWUiAv0-5_ewNS=s1024,Quán bar,Quán bar,,,Open All Days,"11 Trương Vĩnh Ký, Phường 1, Vũng Tàu, Bà Rịa - Vũng Tàu 70000",,https://www.google.com/maps/place/VFB+Restaurant+%26+Bar/data=!4m7!3m6!1s0x31756f93c681e0cb:0x386843c991fc947f!8m2!3d10.3487916!4d107.0730559!16s%2Fg%2F11d_z4l8h1!19sChIJy-CBxpNvdTERf5T8kclDaDg?authuser=0&hl=vi&rclk=1,"quán bar, club ở vũng tàu"
ChIJfxmAH25vdTERvTcBn_ePQj4,Karaoke Las Vegas,,,81,3.8,"Name: Karaoke ICOOL
Link: https://www.google.com/maps/search/Karaoke+ICOOL/@10.3370767,107.0856922?authuser=0&hl=vi&entry=ttu
Reviews: 640 reviews

Name: Karaoke 88
Link: https://www.google.com/maps/search/Karaoke+88/@10.3497442,107.0824263?authuser=0&hl=vi&entry=ttu
Reviews: 619 reviews

Name: Avatar Karaoke
Link: https://www.google.com/maps/search/Avatar+Karaoke/@10.3581653,107.0786672?authuser=0&hl=vi&entry=ttu
Reviews: 243 reviews

Name: Karaoke Paris
Link: https://www.google.com/maps/search/Karaoke+Paris/@10.330991899999999,107.0846905?authuser=0&hl=vi&entry=ttu
Reviews: 67 reviews

Name: Karaoke Diamond
Link: https://www.google.com/maps/search/Karaoke+Diamond/@10.3468225,107.0844856?authuser=0&hl=vi&entry=ttu
Reviews: 19 reviews",http://facebook.com/quankaraoketanphu,0931 313 173,,Karaoke Las Vegas (Chủ sở hữu),https://www.google.com/maps/contrib/117361667261110659886,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyFZLsXy9CjpCNvCTNEqMN2g3oCZ7jjIXL8wJhoHMrjDIcnPr14p-lmXxO3jdgVNdKtPTCtAEVBcudLiuW_Wml3eyDa-JJbLBfFa8NvCqRyQjrR2DOwzouloxZokri_pymkBnUR=s1024,Quán bar karaoke,Quán bar karaoke,,,Open All Days,"12b Hoàng Hoa Thám, Phường 3, Vũng Tàu, Bà Rịa - Vũng Tàu",,https://www.google.com/maps/place/Karaoke+Las+Vegas/data=!4m7!3m6!1s0x31756f6e1f80197f:0x3e428ff79f0137bd!8m2!3d10.3409285!4d107.078232!16s%2Fg%2F11spkgzrhd!19sChIJfxmAH25vdTERvTcBn_ePQj4?authuser=0&hl=vi&rclk=1,"quán bar, club ở vũng tàu"
ChIJ3_p2w21vdTERiu__GWjqg7w,Mr.C's Speakeasy Pub,"Outdoor sports pub and restaurant with a fantastic ""Wood Fire Oven"" offering, pizza, ribs and chicken.....plus ice cold beer and beverages",,132,4.7,"Name: Ned Kelly's Pub
Link: https://www.google.com/maps/search/Ned+Kelly's+Pub/@10.342986999999999,107.0752285?authuser=0&hl=vi&entry=ttu
Reviews: 398 reviews

Name: MK Bar
Link: https://www.google.com/maps/search/MK+Bar/@10.3423986,107.07640509999999?authuser=0&hl=vi&entry=ttu
Reviews: 205 reviews

Name: U.S Bar - The Art Of Mixology | Cocktail Bar Vũng Tàu
Link: https://www.google.com/maps/search/U.S+Bar+-+The+Art+Of+Mixology+%7C+Cocktail+Bar+V%C5%A9ng+T%C3%A0u/@10.3507926,107.07875519999999?authuser=0&hl=vi&entry=ttu
Reviews: 116 reviews

Name: The Office
Link: https://www.google.com/maps/search/The+Office/@10.3427619,107.0769741?authuser=0&hl=vi&entry=ttu
Reviews: 69 reviews

Name: Cowgirl Bar
Link: https://www.google.com/maps/search/Cowgirl+Bar/@10.333255399999999,107.08204289999999?authuser=0&hl=vi&entry=ttu
Reviews: 18 reviews",https://www.facebook.com/profile.php?id=100087193134264&mibextid=ZbWKwL,0842 150 588,,Mr.C's Speakeasy Pub (Chủ sở hữu),https://www.google.com/maps/contrib/108744323167702674480,https://lh3.googleusercontent.com/p/AF1QipO99xM-pAGGpxzQwD0vhn_lEmQAInGkeLrtfEJd=s1024,Nhà hàng pizza,"Nhà hàng pizza, Khu vực nướng, Quán bia sân vườn, Cửa hàng giao pizza, Cửa hàng bán pizza mang về, Quán rượu, Bar thể thao",,,Open All Days,"3 Lê Ngọc Hân, Phường 1, Vũng Tàu, Bà Rịa - Vũng Tàu",,https://www.google.com/maps/place/Mr.C%27s+Speakeasy+Pub/data=!4m7!3m6!1s0x31756f6dc376fadf:0xbc83ea6819ffef8a!8m2!3d10.3507558!4d107.0714533!16s%2Fg%2F11tmmzv1d6!19sChIJ3_p2w21vdTERiu__GWjqg7w?authuser=0&hl=vi&rclk=1,"quán bar, club ở vũng tàu"
ChIJPUGc8axvdTERnCB26SJJAnY,Queen Beer Vũng Tàu,"🍻 QUEEN BEER VŨNG TÀU ĐÃ ĐƯỢC KHÁCH HÀNG SÀNH BIA MỆNH DANH LÀ ""THẾ GIỚI BIA CHÂU ÂU TẠI LÒNG VŨNG TÀU"" LÀ MỘT ĐIỂM CHILL VỚI KHÔNG GIAN ẤM CŨNG VÀ PHONG CÁCH PHÓNG KHOÁNG, PHÁ CÁCH! 🍻
📣 QUEEN BEER VUNG TAU cung cấp bia nhập khẩu Châu Âu, đồ ăn cực hợp gu, không gian chill và biểu diễn nhạc acoustic cực đỉnh ở Vũng Tàu! 🤩🤩🤩
✨ Queen Beer sở hữu hơn 50 loại bia nhập khẩu từ Đức, Bỉ và các quốc gia Châu Âu , đa dạng hương vị độc đáo, chất lượng hảo hạng kết hợp với đồ ăn đa dạng, phong phú và có tổ chức chương trình biểu diễn nhạc Acoustic vào tối thứ 5 hàng tuần giúp khách hàng thư giãn và thưởng thức Bia nhập khẩu và mồi bén trong một không gian đầy cảm hứng.",,14,4.8,"Name: Ocean Beer
Link: https://www.google.com/maps/search/Ocean+Beer/@10.3573609,107.07841619999999?authuser=0&hl=vi&entry=ttu
Reviews: 83 reviews

Name: Beer House
Link: https://www.google.com/maps/search/Beer+House/@10.36527,107.0840674?authuser=0&hl=vi&entry=ttu
Reviews: 23 reviews

Name: Bia ly Nhôm
Link: https://www.google.com/maps/search/Bia+ly+Nh%C3%B4m/@10.3726989,107.088349?authuser=0&hl=vi&entry=ttu
Reviews: 9 reviews

Name: Quỳnh Như beer
Link: https://www.google.com/maps/search/Qu%E1%BB%B3nh+Nh%C6%B0+beer/@10.3591874,107.0909483?authuser=0&hl=vi&entry=ttu
Reviews: 1 reviews

Name: Quán Quen Beer Food
Link: https://www.google.com/maps/search/Qu%C3%A1n+Quen+Beer+Food/@10.353740499999999,107.08713010000001?authuser=0&hl=vi&entry=ttu
Reviews: No Reviews reviews",https://biachauau.com/,0981 771 237,,Queen Beer Vũng Tàu (Chủ sở hữu),https://www.google.com/maps/contrib/117774378611207869086,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzqP6Ef6UXvF15iDup4zjq4hkaWGd8n2gR9veBoWQ0Lcb4Db3hib_6XEUDuQQS5h2OlbyA-NJPhxg9xJcY1b2n91KAeZRKB5Wi0hLFWZVaEM4sNw-kPB5NQW_QTMBzN7YXRyx4=s1024,Nhà hàng,"Nhà hàng, Bar & Grill, Quán bia",,,Open All Days,"45 Lương Thế Vinh, Phường 9, Vũng Tàu, Bà Rịa - Vũng Tàu",,https://www.google.com/maps/place/Queen+Beer+V%C5%A9ng+T%C3%A0u/data=!4m7!3m6!1s0x31756facf19c413d:0x76024922e976209c!8m2!3d10.3689118!4d107.0894299!16s%2Fg%2F11vjpxpmnx!19sChIJPUGc8axvdTERnCB26SJJAnY?authuser=0&hl=vi&rclk=1,"quán bar, club ở vũng tàu"
ChIJYVnkJghvdTERDU27V28uIxQ,Karaoke ICOOL,"1900779936. Trải nghiệm giải trí đỉnh cao, âm thanh chất lượng, không gian sang trọng, ẩm thực tuyệt hảo. Đến ICOOL, AI CŨNG LÀ CA SĨ",,640,4.8,"Name: Karaoke 88
Link: https://www.google.com/maps/search/Karaoke+88/@10.3497442,107.0824263?authuser=0&hl=vi&entry=ttu
Reviews: 619 reviews

Name: Karaoke 88-2
Link: https://www.google.com/maps/search/Karaoke+88-2/@10.3627928,107.0885922?authuser=0&hl=vi&entry=ttu
Reviews: 223 reviews

Name: Karaoke Las Vegas
Link: https://www.google.com/maps/search/Karaoke+Las+Vegas/@10.3409285,107.078232?authuser=0&hl=vi&entry=ttu
Reviews: 81 reviews

Name: Karaoke Paris
Link: https://www.google.com/maps/search/Karaoke+Paris/@10.330991899999999,107.0846905?authuser=0&hl=vi&entry=ttu
Reviews: 67 reviews

Name: Karaoke - Nhà Nghỉ Nốt Nhạc Vui
Link: https://www.google.com/maps/search/Karaoke+-+Nh%C3%A0+Ngh%E1%BB%89+N%E1%BB%91t+Nh%E1%BA%A1c+Vui/@10.3368158,107.0842874?authuser=0&hl=vi&entry=ttu
Reviews: 1 reviews",https://icool.simplybook.asia/,1900 633936,,Karaoke ICOOL (Chủ sở hữu),https://www.google.com/maps/contrib/106373143522717729780,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx8bFRDuoOwixwZVz7wqqUL6dfaob6nzuf9IcvXqdOwzcZNcbRH-Y4mdQi7UElPLgFwgLJs0bj1uB-cm_JoObNbkjxBH5flgZxrSYRknKBhq7FuPvLe6Vb0MXokAU6YuhjDNOLN=s1024,Quán bar karaoke,Quán bar karaoke,,,Open All Days,"130 Hoàng Hoa Thám, Phường 2, Vũng Tàu, Bà Rịa - Vũng Tàu 78000",,https://www.google.com/maps/place/Karaoke+ICOOL/data=!4m7!3m6!1s0x31756f0826e45961:0x14232e6f57bb4d0d!8m2!3d10.3370767!4d107.0856922!16s%2Fg%2F11q3tg7d8n!19sChIJYVnkJghvdTERDU27V28uIxQ?authuser=0&hl=vi&rclk=1,"quán bar, club ở vũng tàu"
ChIJKbBeKI1vdTERB_7sNLqXaf0,The Office,,,69,4.4,"Name: Cask Bar
Link: https://www.google.com/maps/search/Cask+Bar/@10.3422886,107.07512489999999?authuser=0&hl=vi&entry=ttu
Reviews: 215 reviews

Name: MK Bar
Link: https://www.google.com/maps/search/MK+Bar/@10.3423986,107.07640509999999?authuser=0&hl=vi&entry=ttu
Reviews: 205 reviews

Name: Corner Bar
Link: https://www.google.com/maps/search/Corner+Bar/@10.3427217,107.07514069999999?authuser=0&hl=vi&entry=ttu
Reviews: 145 reviews

Name: Do Duc Inn Bar
Link: https://www.google.com/maps/search/Do+Duc+Inn+Bar/@10.345162499999999,107.0768543?authuser=0&hl=vi&entry=ttu
Reviews: 94 reviews

Name: New Space Bar
Link: https://www.google.com/maps/search/New+Space+Bar/@10.3426973,107.0768403?authuser=0&hl=vi&entry=ttu
Reviews: 10 reviews",,,1,The Office (Chủ sở hữu),https://www.google.com/maps/contrib/116441353503157586041,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy4MMiSDpy5y7PhYYhoAbh88G768wGmpRKvCjnZc0uXGA4iN33CXO_TGv0k09kqW1lOMdWM2TQ_C42-nmkRtwQKho8yKQtVtr_uJklgkslLkY93jmNmNQ9w_fJqG53zQNIZKHhB=s1024,Quán bar,Quán bar,,,Open All Days,"25 Trương Công Định, Phường 1, Vũng Tàu, Bà Rịa - Vũng Tàu",,https://www.google.com/maps/place/The+Office/data=!4m7!3m6!1s0x31756f8d285eb029:0xfd6997ba34ecfe07!8m2!3d10.3427619!4d107.0769741!16s%2Fg%2F11c5250m11!19sChIJKbBeKI1vdTERB_7sNLqXaf0?authuser=0&hl=vi&rclk=1,"quán bar, club ở vũng tàu"
ChIJr5PpYF9ldTER2JYPjjGXFNk,Little Bar & Café,"Little Bar, Big choice for drink",,20,4.7,"Name: Corner Bar
Link: https://www.google.com/maps/search/Corner+Bar/@10.3427217,107.07514069999999?authuser=0&hl=vi&entry=ttu
Reviews: 145 reviews

Name: The Office
Link: https://www.google.com/maps/search/The+Office/@10.3427619,107.0769741?authuser=0&hl=vi&entry=ttu
Reviews: 69 reviews

Name: Thy Coffee Bar
Link: https://www.google.com/maps/search/Thy+Coffee+Bar/@10.337424,107.08033449999999?authuser=0&hl=vi&entry=ttu
Reviews: 11 reviews

Name: Mai's coffee
Link: https://www.google.com/maps/search/Mai's+coffee/@10.337850999999999,107.0799612?authuser=0&hl=vi&entry=ttu
Reviews: 8 reviews",https://www.facebook.com/LittleBarCoffee/,0765 861 296,,Little Bar & Café (Chủ sở hữu),https://www.google.com/maps/contrib/117257466710558633055,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzX1J1t1IDtMurdWtxB3vcv2S1O9dF99AJO2nmsTgr4lHa7opCnmgPcays2roO8ZPsY8xFE7Duc_u0z-OTEuDpEbjos4X8nvXvMQQFKDFLC3l4R8sq3h7MRwNH9PctfmhOKXnos=s1024,Quán bar cocktail,"Quán bar cocktail, Quán bar",,,Open All Days,"81 Phan Chu Trinh, Phường 2, Vũng Tàu, Bà Rịa - Vũng Tàu",,https://www.google.com/maps/place/Little+Bar+%26+Caf%C3%A9/data=!4m7!3m6!1s0x3175655f60e993af:0xd91497318e0f96d8!8m2!3d10.3338529!4d107.0819653!16s%2Fg%2F11qk208zrg!19sChIJr5PpYF9ldTER2JYPjjGXFNk?authuser=0&hl=vi&rclk=1,"quán bar, club ở vũng tàu"
ChIJXRwG34xvdTERwfQI3L_ukEs,MK Bar,,,205,3.7,"Name: Cask Bar
Link: https://www.google.com/maps/search/Cask+Bar/@10.3422886,107.07512489999999?authuser=0&hl=vi&entry=ttu
Reviews: 215 reviews

Name: Corner Bar
Link: https://www.google.com/maps/search/Corner+Bar/@10.3427217,107.07514069999999?authuser=0&hl=vi&entry=ttu
Reviews: 145 reviews

Name: The Office
Link: https://www.google.com/maps/search/The+Office/@10.3427619,107.0769741?authuser=0&hl=vi&entry=ttu
Reviews: 69 reviews

Name: Cowgirl Bar
Link: https://www.google.com/maps/search/Cowgirl+Bar/@10.333255399999999,107.08204289999999?authuser=0&hl=vi&entry=ttu
Reviews: 18 reviews",,,1,MK Bar (Chủ sở hữu),https://www.google.com/maps/contrib/104320598033449420082,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyxPcvyqDbsA8OOiV5Gu1izPsRFodUXyXy1EKtF98k7RCe_xTFijlrljwu7Wr9gR3K4VcJYK_tsz5XHbEM1kl5ESZO6kQcol7LufK_oCGeD6G23fYKULxhncZxRvz0hCrSsv7gO=s1024,Quán bar,Quán bar,,,Open All Days,"83RG+XH2, Phường 1, Vũng Tàu, Bà Rịa - Vũng Tàu",,https://www.google.com/maps/place/MK+Bar/data=!4m7!3m6!1s0x31756f8cdf061c5d:0x4b90eebfdc08f4c1!8m2!3d10.3423986!4d107.0764051!16s%2Fg%2F1tdxyd8z!19sChIJXRwG34xvdTERwfQI3L_ukEs?authuser=0&hl=vi&rclk=1,"quán bar, club ở vũng tàu"
